pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,Error,Expected_result
452734012,AIGER-Real/random_n_19_4_2_13_12_24_abc.aag,9165952,simpleBDDSolver,24326,seqreal2,332128,complete,155.81,155.849,92201540,NEW-REALIZABLE,-,unknown
452734013,AIGER-Real/random_n_19_4_2_13_12_24_abc.aag,9165952,simpleBDDSolver,24326,seqreal1,332129,complete,160.318,160.353,92201528,NEW-REALIZABLE,-,unknown
452734017,AIGER-Real/random_n_19_4_2_13_12_9_abc.aag,9165953,simpleBDDSolver,24326,seqreal2,332128,complete,274.503,274.531,92211560,NEW-REALIZABLE,-,unknown
452734018,AIGER-Real/random_n_19_4_2_13_12_9_abc.aag,9165953,simpleBDDSolver,24326,seqreal1,332129,complete,285.488,285.523,92211572,NEW-REALIZABLE,-,unknown
452734022,AIGER-Real/random_n_19_4_2_13_12_5_abc.aag,9165954,simpleBDDSolver,24326,seqreal2,332128,complete,31.9309,31.9375,92124432,NEW-REALIZABLE,-,unknown
452734023,AIGER-Real/random_n_19_4_2_13_12_5_abc.aag,9165954,simpleBDDSolver,24326,seqreal1,332129,complete,32.009,32.0112,92125392,NEW-REALIZABLE,-,unknown
452734027,AIGER-Real/random_n_19_4_2_13_12_92_abc.aag,9165955,simpleBDDSolver,24326,seqreal2,332128,complete,36.0192,36.042,92163600,NEW-REALIZABLE,-,unknown
452734028,AIGER-Real/random_n_19_4_2_13_12_92_abc.aag,9165955,simpleBDDSolver,24326,seqreal1,332129,complete,39.1774,39.1952,92164556,NEW-REALIZABLE,-,unknown
452734032,AIGER-Real/random_n_19_4_2_13_12_62_abc.aag,9165956,simpleBDDSolver,24326,seqreal2,332128,complete,271.292,271.33,92180136,NEW-REALIZABLE,-,unknown
452734033,AIGER-Real/random_n_19_4_2_13_12_62_abc.aag,9165956,simpleBDDSolver,24326,seqreal1,332129,complete,299.428,299.498,92180136,NEW-REALIZABLE,-,unknown
452734037,AIGER-Real/random_n_19_4_2_13_12_96_abc.aag,9165957,simpleBDDSolver,24326,seqreal2,332128,complete,34.1327,34.1397,92135384,NEW-REALIZABLE,-,unknown
452734038,AIGER-Real/random_n_19_4_2_13_12_96_abc.aag,9165957,simpleBDDSolver,24326,seqreal1,332129,complete,33.8434,33.8517,92121172,NEW-REALIZABLE,-,unknown
452734042,AIGER-Real/random_n_19_4_2_13_12_12_abc.aag,9165958,simpleBDDSolver,24326,seqreal2,332128,complete,35.6979,35.7057,92121552,NEW-REALIZABLE,-,unknown
452734043,AIGER-Real/random_n_19_4_2_13_12_12_abc.aag,9165958,simpleBDDSolver,24326,seqreal1,332129,complete,35.95,35.9526,92120116,NEW-REALIZABLE,-,unknown
452734047,AIGER-Real/random_n_19_4_2_13_12_72_abc.aag,9165959,simpleBDDSolver,24326,seqreal2,332128,complete,37.0904,37.0945,92099068,NEW-REALIZABLE,-,unknown
452734048,AIGER-Real/random_n_19_4_2_13_12_72_abc.aag,9165959,simpleBDDSolver,24326,seqreal1,332129,complete,33.1837,33.2381,92097660,NEW-REALIZABLE,-,unknown
452734052,AIGER-Real/random_n_19_4_2_13_12_82_abc.aag,9165960,simpleBDDSolver,24326,seqreal2,332128,complete,33.6748,33.6906,92094972,NEW-REALIZABLE,-,unknown
452734053,AIGER-Real/random_n_19_4_2_13_12_82_abc.aag,9165960,simpleBDDSolver,24326,seqreal1,332129,complete,38.1107,38.1358,92093532,NEW-REALIZABLE,-,unknown
452734057,AIGER-Real/random_n_19_4_2_13_12_63_abc.aag,9165961,simpleBDDSolver,24326,seqreal2,332128,complete,37.552,37.5546,92127360,NEW-REALIZABLE,-,unknown
452734058,AIGER-Real/random_n_19_4_2_13_12_63_abc.aag,9165961,simpleBDDSolver,24326,seqreal1,332129,complete,37.6899,37.7104,92126464,NEW-REALIZABLE,-,unknown
